origin,target,horizon,pred,actual,variant
2024-04-03,2024-04-04,1,5496.032438944949,5747.0,informed
2024-04-03,2024-04-05,2,5814.262099160568,6303.0,informed
2024-04-03,2024-04-06,3,5988.740368845314,6307.0,informed
2024-04-03,2024-04-07,4,5736.411243994146,5643.0,informed
2024-04-03,2024-04-08,5,5633.448182487103,5920.0,informed
2024-04-03,2024-04-09,6,5744.379409366387,6257.0,informed
2024-04-03,2024-04-10,7,5728.738247430327,7203.0,informed
2024-04-10,2024-04-11,1,6538.438787272508,7035.0,informed
2024-04-10,2024-04-12,2,6403.104836263789,7295.0,informed
2024-04-10,2024-04-13,3,6679.53258752325,7462.0,informed
2024-04-10,2024-04-14,4,6056.043048859541,6540.0,informed
2024-04-10,2024-04-15,5,5911.092267242445,5890.0,informed
2024-04-10,2024-04-16,6,6286.063961530215,6114.0,informed
2024-04-10,2024-04-17,7,6359.7108443784355,6646.0,informed
2024-05-01,2024-05-02,1,6757.924030824852,8428.0,informed
2024-05-01,2024-05-03,2,6500.9446412398165,7833.0,informed
2024-05-01,2024-05-04,3,6497.83399498394,7627.0,informed
2024-05-01,2024-05-05,4,6196.124138856113,6202.0,informed
2024-05-01,2024-05-06,5,5282.140897883701,5110.0,informed
2024-05-01,2024-05-07,6,5022.913230480463,5491.0,informed
2024-05-01,2024-05-08,7,5122.212035948504,5993.0,informed
2024-05-08,2024-05-09,1,6485.715782001109,6735.0,informed
2024-05-08,2024-05-10,2,6287.853485538209,7422.0,informed
2024-05-08,2024-05-11,3,6246.672435719862,7363.0,informed
2024-05-08,2024-05-12,4,6044.009970137448,6534.0,informed
2024-05-08,2024-05-13,5,5863.172494179768,6394.0,informed
2024-05-08,2024-05-14,6,6016.680854351023,6275.0,informed
2024-05-08,2024-05-15,7,6691.730359231059,6549.0,informed
2024-06-15,2024-06-16,1,6526.324199505341,6784.0,informed
2024-06-15,2024-06-17,2,5934.4369477264345,6010.0,informed
2024-06-15,2024-06-18,3,5906.42012091248,6202.0,informed
2024-06-15,2024-06-19,4,6167.071799649036,6030.0,informed
2024-06-15,2024-06-20,5,6072.575136764435,6344.0,informed
2024-06-15,2024-06-21,6,6479.947700001505,6837.0,informed
2024-06-15,2024-06-22,7,7015.899632322972,6612.0,informed
2024-06-19,2024-06-20,1,6241.918870317945,6344.0,informed
2024-06-19,2024-06-21,2,6463.678482951878,6837.0,informed
2024-06-19,2024-06-22,3,7139.023424677884,6612.0,informed
2024-06-19,2024-06-23,4,6793.337302813241,6357.0,informed
2024-06-19,2024-06-24,5,5909.661977320054,5413.0,informed
2024-06-19,2024-06-25,6,6085.366665271319,6178.0,informed
2024-06-19,2024-06-26,7,6435.25362726733,6393.0,informed
2024-06-26,2024-06-27,1,6401.014666080435,6439.0,informed
2024-06-26,2024-06-28,2,6602.49164961607,7072.0,informed
2024-06-26,2024-06-29,3,7047.548238874029,7355.0,informed
2024-06-26,2024-06-30,4,6331.962459553998,6513.0,informed
2024-06-26,2024-07-01,5,5557.6984839954375,5942.0,informed
2024-06-26,2024-07-02,6,5845.225054320778,5751.0,informed
2024-06-26,2024-07-03,7,5952.735212243895,5965.0,informed
2024-07-13,2024-07-14,1,6631.6066381708115,7042.0,informed
2024-07-13,2024-07-15,2,5565.112946485986,6140.0,informed
2024-07-13,2024-07-16,3,5592.85494176319,6563.0,informed
2024-07-13,2024-07-17,4,5548.427548573639,7092.0,informed
2024-07-13,2024-07-18,5,6664.989371651732,7407.0,informed
2024-07-13,2024-07-19,6,6714.442518989243,7807.0,informed
2024-07-13,2024-07-20,7,7176.290823326067,8336.0,informed
2024-09-25,2024-09-26,1,6504.217212271052,7085.0,informed
2024-09-25,2024-09-27,2,6109.220983157571,7024.0,informed
2024-09-25,2024-09-28,3,6609.911938617898,6599.0,informed
2024-09-25,2024-09-29,4,6466.56626773359,6440.0,informed
2024-09-25,2024-09-30,5,6186.82259176457,6347.0,informed
2024-09-25,2024-10-01,6,5946.89083873817,7437.0,informed
2024-09-25,2024-10-02,7,6263.554924096609,8012.0,informed
2024-10-02,2024-10-03,1,7834.581666830501,7787.0,informed
2024-10-02,2024-10-04,2,7605.604364159891,7679.0,informed
2024-10-02,2024-10-05,3,7301.316593799643,7612.0,informed
2024-10-02,2024-10-06,4,6465.230318512055,7318.0,informed
2024-10-02,2024-10-07,5,6187.703658050525,5565.0,informed
2024-10-02,2024-10-08,6,5967.41902319122,5113.0,informed
2024-10-02,2024-10-09,7,6363.272260071447,5458.0,informed
2024-10-09,2024-10-10,1,6440.428978233263,5671.0,informed
2024-10-09,2024-10-11,2,7098.557840696432,6528.0,informed
2024-10-09,2024-10-12,3,7220.082868473015,7325.0,informed
2024-10-09,2024-10-13,4,7057.459544572748,6537.0,informed
2024-10-09,2024-10-14,5,6173.641615160735,6507.0,informed
2024-10-09,2024-10-15,6,6306.140847106706,6750.0,informed
2024-10-09,2024-10-16,7,6541.554150694414,6822.0,informed
2024-12-18,2024-12-19,1,6908.746614966748,6387.0,informed
2024-12-18,2024-12-20,2,7179.705627188168,6716.0,informed
2024-12-18,2024-12-21,3,7473.055684858921,6960.0,informed
2024-12-18,2024-12-22,4,6903.26774126219,6395.0,informed
2024-12-18,2024-12-23,5,6441.88124131334,6302.0,informed
2024-12-18,2024-12-24,6,6473.055657207775,6996.0,informed
2024-12-18,2024-12-25,7,6677.562176356837,7222.0,informed
2024-12-25,2024-12-26,1,7142.49576678166,6837.0,informed
2024-12-25,2024-12-27,2,7103.2434901587885,7647.0,informed
2024-12-25,2024-12-28,3,6786.7359980911115,8028.0,informed
2024-12-25,2024-12-29,4,6704.2381438040675,7179.0,informed
2024-12-25,2024-12-30,5,6481.554839698187,6325.0,informed
2024-12-25,2024-12-31,6,6667.9694787916,7011.0,informed
2024-12-25,2025-01-01,7,6622.674651870248,7464.0,informed
2025-01-01,2025-01-02,1,7281.706356707632,6686.0,informed
2025-01-01,2025-01-03,2,7567.8843630774145,6999.0,informed
2025-01-01,2025-01-04,3,7852.954623342196,8150.0,informed
2025-01-01,2025-01-05,4,7373.847794776531,7555.0,informed
2025-01-01,2025-01-06,5,6269.556735491603,7501.0,informed
2025-01-01,2025-01-07,6,6467.803492556705,7766.0,informed
2025-01-01,2025-01-08,7,6945.389367299213,7363.0,informed
2025-01-08,2025-01-09,1,6787.082908791088,7244.0,informed
2025-01-08,2025-01-10,2,7224.6920697826845,7362.0,informed
2025-01-08,2025-01-11,3,7800.28843646357,8310.0,informed
2025-01-08,2025-01-12,4,7047.5353646329895,7507.0,informed
2025-01-08,2025-01-13,5,6866.216311071108,6842.0,informed
2025-01-08,2025-01-14,6,7021.142302292821,7028.0,informed
2025-01-08,2025-01-15,7,7423.005258696222,7065.0,informed
2025-01-15,2025-01-16,1,6919.855042128193,6883.0,informed
2025-01-15,2025-01-17,2,7141.7036442729495,7450.0,informed
2025-01-15,2025-01-18,3,7762.124037621928,7652.0,informed
2025-01-15,2025-01-19,4,7347.761369755195,6955.0,informed
2025-01-15,2025-01-20,5,6973.290006148565,6102.0,informed
2025-01-15,2025-01-21,6,6918.615982766634,6130.0,informed
2025-01-15,2025-01-22,7,5846.445735661692,5976.0,informed
2025-01-22,2025-01-23,1,5641.479389320044,6206.0,informed
2025-01-22,2025-01-24,2,5803.712323379118,5946.0,informed
2025-01-22,2025-01-25,3,5769.896035218119,5480.0,informed
2025-01-22,2025-01-26,4,4635.212682362706,4576.0,informed
2025-01-22,2025-01-27,5,4002.8469755083984,3619.0,informed
