origin,target,horizon,pred,actual,variant
2018-04-04,2018-04-09,5,3649.9277397009587,3344.0,off
2018-04-04,2018-04-10,6,3708.8419913954385,4079.0,off
2018-04-04,2018-04-11,7,3884.684423706562,4019.0,off
2018-04-11,2018-04-12,1,3852.032038182444,3776.0,off
2018-04-11,2018-04-13,2,4165.415490802665,4308.0,off
2018-04-11,2018-04-14,3,4406.551697879029,4599.0,off
2018-04-11,2018-04-15,4,4217.272266575988,3895.0,off
2018-04-11,2018-04-16,5,3765.30790667986,3728.0,off
2018-04-11,2018-04-17,6,3927.4838528468554,3766.0,off
2018-04-11,2018-04-18,7,3797.9611828186544,3552.0,off
2018-04-18,2018-04-19,1,3940.254290123907,4087.0,off
2018-04-18,2018-04-20,2,4242.7518696123,4220.0,off
2018-04-18,2018-04-21,3,4661.261997228648,4883.0,off
2018-04-18,2018-04-22,4,4101.1299886144,4384.0,off
2018-04-18,2018-04-23,5,3585.94658806178,3522.0,off
2018-04-18,2018-04-24,6,3787.0492235511756,3993.0,off
2018-04-18,2018-04-25,7,3820.121252554327,4034.0,off
2018-04-25,2018-04-26,1,4112.2444672035435,3987.0,off
2018-04-25,2018-04-27,2,4238.465145620098,3686.0,off
2018-04-25,2018-04-28,3,4379.98591495643,4188.0,off
2018-04-25,2018-04-29,4,4612.311444144568,4613.0,off
2018-04-25,2018-04-30,5,4510.275016340231,4630.0,off
2018-04-25,2018-05-01,6,4181.362159459497,4103.0,off
2018-04-25,2018-05-02,7,3832.050968889893,3344.0,off
2018-05-02,2018-05-03,1,3934.8253617280407,3210.0,off
2018-05-02,2018-05-04,2,4126.29318432619,4015.0,off
2018-05-02,2018-05-05,3,4506.080676375719,3807.0,off
2018-05-02,2018-05-06,4,4087.516442672265,3629.0,off
2018-05-02,2018-05-07,5,3721.084559452203,3508.0,off
2018-05-02,2018-05-08,6,3765.348659894462,3609.0,off
2018-05-02,2018-05-09,7,3611.880624474838,3839.0,off
2018-05-23,2018-05-24,1,4096.938459516396,3471.0,off
2018-05-23,2018-05-25,2,4165.701109912659,3946.0,off
