target_date,horizon,y,lag_365,is_hol,lgbm_l2,lgbm_q,xgb,cat,lgbm_bag,v3_2stage,dow,ridge,enet,xtrees,rf
2025-10-17,17,7867.0,6926.0,0,7038.474714668353,7179.3665687785615,7069.521,7103.333495053594,7147.84894211373,7038.474714668353,4,7678.958539815577,7814.195788440889,7047.74341657142,7174.475300564052
2025-10-18,17,8454.0,7265.0,0,7700.324727916638,7826.042582778967,7746.0254,7749.143605238527,7798.649715600062,7700.324727916638,5,7929.003717927765,8314.758243773094,7861.586012463105,7751.888251186839
2025-10-19,17,7329.0,7391.0,0,7167.377422671865,6998.3640989799405,7339.685,7089.420718487801,7382.466272372684,7167.377422671865,6,6848.309854988633,7695.347764670325,7245.655191540494,7168.309391437882
2025-10-20,17,6662.0,7127.0,0,6879.509823135494,6795.136818432851,6792.9146,6743.599990089238,6826.60888351094,6879.509823135494,0,6386.981128109851,7361.6421282488745,6841.39643485776,6671.152544616742
2025-10-21,17,7106.0,6594.0,0,6750.071650596444,6589.456518546465,6727.0376,6822.404441971754,6633.304138610464,6750.071650596444,1,6734.469747099563,7196.939817300273,6787.811362522345,6186.072259401202
2025-10-22,17,7095.0,6428.0,0,6831.79120152961,6463.322206487423,6816.1377,6984.29785123286,6775.176137442496,6831.79120152961,2,6792.329116577561,7339.5830358168505,6891.5120505630275,6208.994953040829
2025-10-23,17,6697.0,6551.0,0,6740.721175259154,6851.015710383364,6706.78,6936.473337382581,6798.672634450605,6740.721175259154,3,6762.580185517527,7741.023548073788,6908.220298497551,6383.818456777889
2025-10-24,17,7163.0,6855.0,0,6986.07494742561,6909.45370371681,7081.5493,7194.130872632636,6992.589424720627,6986.07494742561,4,6958.118861238389,7860.049042502589,7067.498167817855,6672.455342520165
2025-10-25,17,7740.0,7090.0,0,7587.4199796575585,7360.221296351064,7566.25,7529.810000547394,7500.7173461089105,7587.4199796575585,5,7529.328220574604,8317.14684946314,7765.923004409379,7490.589481557828
2025-10-26,17,7128.0,7869.0,0,7003.215769935138,7164.277498890805,7023.7725,7206.179624844537,7129.80469924166,7003.215769935138,6,7828.5159484152555,7548.7621049865575,7192.634562867413,6968.913772078318
2025-10-27,17,6818.0,6784.0,0,6766.515163650613,6661.416313756257,6708.615,6587.522261801987,6775.148463051661,6766.515163650613,0,7354.948434279956,7074.401693062123,6823.775397861626,6618.080856396679
2025-10-28,17,7071.0,6256.0,0,6731.480950273337,6713.042414077811,6599.3545,6830.2171850041605,6804.039689585358,6731.480950273337,1,7720.211585785441,7023.172267236682,6837.906592975723,6637.245911390202
2025-10-01,18,8165.0,7437.0,1,7753.903325997935,7408.984485848631,7542.2363,7624.85910560209,7995.4792189609825,7776.418092197746,2,7472.028962323234,7841.355737305042,7642.808554963255,7279.538342244889
2025-10-02,18,8537.0,8012.0,1,8003.811729927068,7454.98802999868,7370.27,7328.783205049949,8032.156485335617,8033.224116499006,3,7506.006985843806,7900.945593139933,7823.046189339506,7520.258866626205
2025-10-03,18,8428.0,7787.0,1,7660.979035695422,7856.769594190689,7531.56,7553.049164155832,7866.314101075067,7669.42606179525,4,7803.93166095897,7941.172626604631,7772.714087258963,7604.928580430789
2025-10-04,18,7964.0,7679.0,1,7694.444667453283,7754.930782624589,7780.8696,7642.388529627504,7875.51920525272,7716.844032062198,5,7576.7499337978425,7961.531103920527,7883.1060594496985,7628.818830145374
2025-10-05,18,7425.0,7612.0,1,7010.763825753699,7231.148260314183,7294.341,7068.106434318074,7446.593488193051,7046.273654237364,6,5883.508229029082,6559.501110696692,7137.002527328334,6954.495889146633
2025-10-06,18,6625.0,7318.0,1,6552.12472516838,6719.425859455627,6784.362,6867.814035143054,6788.9810311742,6558.248859420233,0,6105.434411767696,5920.272963684348,5344.833070465806,6156.762521959711
2025-10-07,18,6786.0,5565.0,1,6362.74226416389,6618.870915692678,7047.276,7203.806739024071,6778.961675407253,6358.346561662954,1,4405.229033737758,5279.243557346248,5422.487570030483,6793.537344131085
2025-10-08,18,6012.0,5113.0,0,6678.270946550844,7020.938064471713,7047.882,6933.063697424839,7057.263611603358,6678.270946550844,2,6428.789170056383,7257.286459007377,7203.651334232416,7298.5929026878675
2025-10-09,18,6156.0,5458.0,0,6587.525098663487,6827.587856890964,6872.7964,6557.070728203433,6773.328303333828,6587.525098663487,3,6630.7806503232805,6976.2590788273055,6810.326130302398,6850.963193566458
2025-10-10,18,6655.0,5671.0,0,6972.185239700489,7144.859048574526,7208.8877,7025.009661383879,7115.384464436832,6972.185239700489,4,6797.558853536288,7118.010846700978,7080.943180945129,7124.610926043508
2025-10-11,18,7427.0,6528.0,0,7213.462900501601,7479.297054676624,7602.993,7177.235967480766,7345.216351122792,7213.462900501601,5,7141.191039459215,7283.423760698033,7402.567872046442,7354.967650038353
2025-10-12,18,7363.0,7325.0,0,7282.20833098955,6828.445564739311,7073.821,7143.249451473052,7231.0787727895,7282.20833098955,6,7785.210964775655,7680.075063365694,7117.677387406879,7102.252576485832
2025-10-13,18,7299.0,6537.0,0,6556.354466348254,6432.410441443641,6548.7095,6323.228597230291,6410.195747455483,6556.354466348254,0,7577.4064174859395,7327.432443950941,6618.977323276888,6403.724811635964
2025-10-14,18,7279.0,6507.0,0,6669.877091178293,6457.99137690446,6559.314,6446.257670247477,6540.95172387619,6669.877091178293,1,6628.889318564601,6971.982932605461,6628.660142117835,6498.6745778943405
2025-10-15,18,7258.0,6750.0,0,6849.222736989163,6508.289639524448,6741.9937,6326.935629249164,6750.329524238018,6849.222736989163,2,6407.262354790908,7106.282706610402,6747.619941906917,6709.442494977648
2025-10-16,18,7640.0,6822.0,0,6979.7272610170985,6980.742022063886,6958.834,6545.973508781619,6939.865145254543,6979.7272610170985,3,7141.30821071094,7651.769476148514,6858.479167256985,6897.771887987722
2025-10-17,18,7867.0,6926.0,0,7132.588328518204,7160.707751996331,7233.231,7058.876885328511,7238.502765092048,7132.588328518204,4,7537.067473665643,7820.934563635478,7075.752566231522,7197.798370554531
